iter	Passed	Remaining
0	146	146125
1	148	74244
2	150	50111
3	152	37985
4	154	30683
5	155	25773
6	157	22391
7	159	19731
8	160	17715
9	162	16117
10	164	14759
11	165	13615
12	166	12673
13	167	11829
14	168	11096
15	170	10467
16	171	9900
17	172	9398
18	173	8949
19	174	8549
20	175	8198
21	176	7861
22	177	7550
23	178	7263
24	179	6999
25	180	6753
26	181	6525
27	181	6317
28	182	6116
29	183	5927
30	183	5749
31	184	5582
32	185	5424
33	185	5275
34	186	5136
35	186	5005
36	187	4879
37	188	4760
38	188	4645
39	189	4541
40	189	4442
41	190	4346
42	191	4255
43	191	4167
44	192	4085
45	193	4003
46	193	3924
47	194	3849
48	194	3777
49	195	3708
50	195	3642
51	196	3578
52	196	3516
53	197	3456
54	197	3398
55	198	3343
56	198	3289
57	199	3237
58	199	3186
59	200	3138
60	200	3091
61	201	3046
62	201	3002
63	202	2959
64	202	2918
65	203	2878
66	203	2840
67	204	2804
68	205	2771
69	205	2735
70	206	2701
71	206	2667
72	207	2636
73	208	2606
74	208	2575
75	209	2545
76	209	2516
77	210	2488
78	211	2460
79	211	2432
80	212	2405
81	212	2379
82	212	2351
83	213	2327
84	214	2304
85	215	2287
86	216	2268
87	217	2249
88	217	2229
89	218	2210
90	219	2193
91	220	2176
92	221	2158
93	222	2141
94	223	2124
95	223	2107
96	224	2090
97	225	2075
98	226	2059
99	227	2044
100	227	2027
101	228	2010
102	228	1993
103	229	1976
104	230	1960
105	230	1945
106	231	1930
107	231	1914
108	232	1899
109	232	1884
110	233	1871
111	234	1861
112	236	1853
113	237	1843
114	238	1832
115	238	1820
116	239	1807
117	240	1797
118	241	1786
119	241	1773
120	242	1761
121	242	1748
122	243	1737
123	244	1724
124	244	1713
125	245	1702
126	245	1690
127	246	1678
128	247	1668
129	247	1658
130	248	1648
131	249	1639
132	250	1629
133	250	1620
134	251	1611
135	252	1601
136	252	1592
137	253	1582
138	254	1573
139	254	1564
140	255	1555
141	255	1544
142	256	1535
143	256	1526
144	257	1517
145	257	1508
146	258	1499
147	258	1490
148	259	1482
149	260	1473
150	260	1465
151	261	1456
152	261	1448
153	262	1440
154	262	1432
155	263	1425
156	264	1418
157	264	1411
158	265	1404
159	266	1396
160	266	1387
161	266	1380
162	267	1372
163	267	1365
164	268	1358
165	268	1351
166	269	1343
167	270	1337
168	270	1330
169	271	1323
170	271	1316
171	272	1310
172	272	1303
173	273	1297
174	273	1290
175	274	1284
176	274	1278
177	275	1271
178	275	1265
179	276	1259
180	277	1253
181	277	1247
182	278	1241
183	278	1236
184	279	1231
185	280	1226
186	280	1220
187	281	1214
188	281	1209
189	282	1203
190	282	1197
191	283	1192
192	283	1186
193	284	1181
194	284	1175
195	285	1170
196	285	1165
197	286	1160
198	286	1154
199	287	1149
200	287	1144
201	288	1139
202	288	1134
203	289	1129
204	289	1124
205	290	1119
206	291	1114
207	291	1110
208	292	1105
209	292	1100
210	293	1096
211	293	1092
212	294	1088
213	295	1083
214	295	1079
215	296	1075
216	296	1070
217	297	1066
218	297	1061
219	298	1057
220	298	1052
221	299	1048
222	299	1044
223	300	1040
224	300	1036
225	301	1032
226	301	1028
227	302	1023
228	302	1019
229	303	1015
230	303	1011
231	304	1007
232	304	1003
233	305	999
234	306	996
235	306	993
236	307	989
237	307	985
238	308	981
239	309	978
240	309	975
241	310	971
242	310	968
243	311	964
244	311	960
245	312	957
246	312	953
247	313	949
248	313	946
249	314	942
250	314	939
251	315	935
252	315	932
253	316	929
254	316	925
255	317	922
256	317	919
257	318	916
258	319	912
259	319	909
260	320	906
261	320	903
262	321	900
263	321	897
264	322	893
265	322	890
266	323	887
267	323	884
268	324	882
269	325	879
270	325	876
271	326	873
272	326	870
273	327	867
274	327	864
275	328	861
276	328	858
277	329	855
278	329	852
279	330	849
280	331	846
281	331	844
282	331	841
283	332	838
284	332	835
285	333	832
286	333	829
287	334	826
288	334	824
289	335	821
290	336	818
291	336	816
292	337	813
293	337	810
294	338	808
295	338	805
296	339	803
297	340	801
298	340	798
299	341	796
300	341	793
301	342	791
302	342	788
303	343	786
304	343	783
305	344	780
306	344	778
307	345	775
308	345	773
309	346	771
310	347	768
311	347	766
312	347	763
313	348	761
314	349	759
315	349	756
316	350	754
317	350	751
318	351	749
319	351	747
320	352	745
321	352	742
322	353	740
323	353	738
324	354	736
325	355	734
326	355	732
327	356	730
328	356	727
329	357	725
330	357	723
331	358	721
332	358	719
333	359	716
334	359	714
335	360	712
336	361	710
337	361	708
338	362	706
339	362	704
340	363	701
341	363	699
342	364	697
343	364	695
344	365	694
345	366	692
346	366	690
347	367	688
348	368	686
349	368	684
350	369	682
351	370	681
352	370	679
353	371	677
354	372	676
355	372	674
356	373	672
357	373	670
358	374	668
359	374	666
360	375	664
361	376	662
362	376	660
363	377	659
364	377	657
365	378	655
366	378	653
367	379	651
368	379	649
369	380	647
370	380	645
371	381	644
372	382	642
373	382	640
374	383	638
375	383	636
376	384	634
377	384	633
378	385	631
379	385	629
380	386	627
381	387	626
382	388	625
383	388	623
384	389	622
385	390	620
386	390	619
387	391	617
388	392	615
389	392	614
390	393	612
391	394	611
392	394	609
393	395	608
394	395	606
395	396	604
396	396	602
397	397	601
398	397	599
399	398	597
400	398	595
401	399	594
402	400	592
403	401	591
404	401	590
405	402	588
406	402	587
407	403	585
408	404	583
409	404	582
410	405	580
411	405	578
412	406	577
413	406	575
414	407	574
415	407	572
416	408	570
417	408	569
418	409	567
419	409	566
420	410	564
421	410	562
422	411	561
423	412	559
424	412	558
425	413	556
426	413	554
427	414	553
428	414	551
429	415	550
430	415	549
431	416	547
432	416	545
433	417	544
434	417	542
435	418	541
436	419	539
437	419	538
438	420	536
439	420	535
440	421	533
441	421	532
442	422	530
443	422	529
444	423	528
445	423	526
446	424	525
447	424	523
448	425	522
449	425	520
450	426	519
451	426	517
452	427	516
453	427	514
454	428	513
455	429	511
456	429	510
457	430	509
458	430	507
459	431	506
460	432	505
461	432	503
462	433	502
463	433	500
464	434	499
465	434	498
466	435	496
467	435	495
468	436	493
469	436	492
470	437	491
471	437	489
472	438	488
473	438	487
474	439	485
475	439	484
476	440	482
477	440	481
478	441	480
479	441	478
480	442	477
481	443	476
482	443	474
483	444	473
484	444	472
485	445	470
486	445	469
487	446	468
488	447	467
489	447	465
490	448	464
491	448	463
492	449	462
493	449	460
494	450	459
495	450	458
496	451	457
497	452	456
498	453	454
499	453	453
500	454	452
501	455	451
502	455	450
503	456	448
504	456	447
505	457	446
506	457	445
507	458	443
508	458	442
509	459	441
510	459	439
511	460	438
512	461	437
513	461	436
514	462	435
515	462	434
516	463	432
517	463	431
518	464	430
519	464	428
520	465	427
521	465	426
522	466	425
523	467	424
524	467	423
525	468	421
526	468	420
527	469	419
528	469	418
529	470	417
530	470	415
531	471	414
532	471	413
533	472	412
534	472	410
535	473	409
536	473	408
537	474	407
538	474	406
539	475	405
540	476	403
541	476	402
542	477	401
543	477	400
544	478	399
545	478	398
546	479	397
547	479	395
548	480	394
549	481	393
550	481	392
551	482	391
552	482	390
553	483	389
554	483	388
555	484	386
556	484	385
557	485	384
558	486	383
559	486	382
560	487	381
